starters,number
FG,36.5
FGA,81.4
FG%,0.448
3P,6.4
3P%,0.349
3PA,18.4
FT,16.9
FTA,22.5
FT%,0.752
ORB,11.4
DRB,30.8
TRB,42.2
AST,21
STL,7.7
BLK,5.1
TOV,14.6
PF,19.6
