starters,number
FG,36.1
FGA,79.3
FG%,0.455
3P,6
3P%,0.36
3PA,16.8
FT,18.7
FTA,25.3
FT%,0.738
ORB,12.7
DRB,28.4
TRB,41.1
AST,22
STL,8.2
BLK,4.9
TOV,15.7
PF,22.1
