starters,number
FG,42.1
FGA,87.7
FG%,0.480
3P,1.6
3P%,0.316
3PA,5.0
FT,22.3
FTA,29.1
FT%,0.766
ORB,14.2
DRB,29.2
TRB,43.3
AST,25.8
STL,8.5
BLK,5.4
TOV,16.7
PF£¬24.1
