starters,number
FG,35.7
FGA,80.8
FG%,0.442
3P,5.1
3P%,0.349
3PA,14.7
FT,18.5
FTA,24.4
FT%,0.758
ORB,12.0
DRB,30.3
TRB,42.3
AST,21.5
STL,7.9
BLK,5.0
TOV,14.9
PF£¬21.8
