starters,number
FG,38.2
FGA,84.6
FG%,0.452
3P,8.5
3P%,0.354
3PA,24.1
FT,17.7
FTA,23.4
FT%,0.757
ORB,10.4
DRB,33.3
TRB,43.8
AST,22.3
STL,7.8
BLK,5
TOV,14.4
PF,20.3
