starters,number
FG,39
FGA,85.4
FG%,0.457
3P,9.7
3P%,0.358
3PA,27
FT,17.8
FTA,23.1
FT%,0.772
ORB,10.1
DRB,33.4
TRB,43.5
AST,22.6
STL,7.7
BLK,4.7
TOV,14
PF,19.9
