"TEAM","GAME","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF"
2,"1","39","81",".481","7","21",".333","18","27",".667","10","36","46","20","10","6","15","24"
2,"2","34","77",".442","12","26",".462","18","21",".857","8","34","42","21","7","3","17","28"
2,"3","49","76",".645","7","19",".368","14","22",".636","7","31","38","32","20","2","20","21"
2,"4","41","68",".603","6","10",".600","18","25",".720","8","31","39","30","8","6","18","20"
2,"5","36","79",".456","10","19",".526","30","35",".857","12","37","49","27","9","3","11","24"
2,"6","31","73",".425","6","21",".286","33","44",".750","7","35","42","17","12","8","13","24"
2,"7","33","71",".465","3","12",".250","22","31",".710","10","32","42","21","15","7","14","28"
2,"8","35","71",".493","5","14",".357","17","18",".944","5","35","40","29","5","2","18","22"
2,"9","40","75",".533","4","16",".250","18","26",".692","9","32","41","17","6","2","19","33"
2,"10","38","79",".481","7","21",".333","22","28",".786","12","40","52","26","9","7","17","18"
2,"11","39","77",".506","8","17",".471","21","28",".750","6","36","42","31","7","2","12","13"
2,"12","34","78",".436","6","18",".333","22","28",".786","9","25","34","22","4","4","13","18"
2,"13","37","86",".430","10","25",".400","20","29",".690","10","30","40","26","8","7","12","22"
2,"14","37","79",".468","12","22",".545","18","25",".720","11","40","51","27","7","6","6","24"
2,"15","29","73",".397","10","22",".455","27","34",".794","12","28","40","17","15","0","17","17"
2,"16","27","72",".375","2","14",".143","24","32",".750","11","40","51","15","11","4","15","19"
2,"17","40","76",".526","10","22",".455","23","26",".885","9","23","32","22","10","3","11","18"
2,"18","39","74",".527","9","21",".429","25","30",".833","8","36","44","29","9","5","20","21"
2,"19","33","64",".516","7","23",".304","19","22",".864","7","38","45","22","5","9","17","20"
2,"20","27","69",".391","6","22",".273","30","32",".938","11","22","33","16","10","3","8","18"
2,"21","35","75",".467","8","20",".400","26","30",".867","11","30","41","19","12","3","13","14"
2,"22","37","75",".493","7","18",".389","9","16",".563","4","31","35","18","8","5","9","19"
2,"23","34","69",".493","4","14",".286","13","21",".619","10","27","37","18","9","3","15","18"
2,"24","31","70",".443","12","26",".462","33","42",".786","8","38","46","25","12","4","22","26"
2,"25","38","73",".521","8","19",".421","19","24",".792","6","32","38","24","7","5","14","24"
2,"26","31","76",".408","11","22",".500","16","22",".727","16","29","45","19","11","4","17","20"
2,"27","34","86",".395","9","19",".474","27","36",".750","14","28","42","21","4","3","4","15"
2,"28","37","80",".463","10","21",".476","20","26",".769","14","27","41","22","10","1","11","19"
2,"29","37","80",".463","7","22",".318","29","39",".744","10","39","49","17","11","4","16","30"
2,"30","41","77",".532","4","16",".250","11","19",".579","7","27","34","27","8","5","12","20"
