"TEAM","GAME","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF"
4,"1","43","86",".500","4","11",".364","15","23",".652","15","27","42","29","10","3","13","27"
4,"2","43","88",".489","4","11",".364","17","25",".680","12","33","45","30","12","7","17","31"
4,"3","44","80",".550","7","14",".500","22","29",".759","8","24","32","28","13","3","14","26"
4,"4","41","79",".519","9","15",".600","15","19",".789","12","31","43","32","5","5","18","21"
4,"5","40","81",".494","6","21",".286","24","30",".800","11","23","34","24","6","4","9","25"
4,"6","35","89",".393","8","21",".381","10","19",".526","19","25","44","24","8","2","19","32"
4,"7","43","77",".558","8","12",".667","19","25",".760","13","22","35","30","10","3","14","20"
4,"8","45","87",".517","4","10",".400","15","17",".882","13","24","37","31","11","5","18","23"
4,"9","42","93",".452","3","12",".250","21","26",".808","12","38","50","16","6","14","13","25"
4,"10","41","92",".446","1","8",".125","20","28",".714","17","34","51","23","8","1","12","34"
4,"11","31","76",".408","6","13",".462","22","33",".667","13","39","52","18","5","5","13","25"
4,"12","32","74",".432","3","18",".167","25","43",".581","15","29","44","25","11","3","12","32"
4,"13","45","82",".549","3","10",".300","14","18",".778","4","22","26","28","12","1","11","24"
4,"14","40","87",".460","3","13",".231","11","16",".688","16","30","46","27","13","3","15","22"
4,"15","39","83",".470","2","12",".167","24","29",".828","14","32","46","19","14","3","18","23"
4,"16","37","84",".440","5","12",".417","22","27",".815","16","32","48","28","8","2","9","22"
4,"17","42","80",".525","7","14",".500","15","19",".789","12","34","46","23","7","3","11","25"
4,"18","47","81",".580","6","10",".600","18","26",".692","15","25","40","22","7","2","7","26"
4,"19","44","86",".512","8","21",".381","16","22",".727","18","31","49","22","6","5","15","19"
4,"20","50","84",".595","9","17",".529","18","24",".750","13","26","39","29","6","7","14","21"
4,"21","39","90",".433","6","14",".429","24","32",".750","22","35","57","24","11","7","14","18"
4,"22","48","84",".571","4","12",".333","23","33",".697","10","31","41","28","10","6","16","29"
4,"23","42","82",".512","2","6",".333","28","31",".903","15","31","46","26","9","3","17","16"
4,"24","43","88",".489","11","19",".579","16","17",".941","14","28","42","25","7","6","11","15"
4,"25","42","81",".519","7","14",".500","9","14",".643","13","28","41","22","13","6","11","22"
4,"26","38","87",".437","6","13",".462","15","24",".625","17","30","47","19","6","4","14","25"
4,"27","42","87",".483","9","17",".529","27","35",".771","16","30","46","24","9","6","13","23"
4,"28","36","85",".424","6","17",".353","17","22",".773","20","30","50","17","9","3","20","17"
4,"29","43","95",".453","4","17",".235","10","12",".833","18","32","50","30","11","2","13","23"
4,"30","49","91",".538","4","10",".400","15","17",".882","14","26","40","29","6","3","11","19"
4,"31","45","85",".529","4","12",".333","19","25",".760","20","31","51","27","9","3","19","26"
4,"32","44","74",".595","9","15",".600","16","23",".696","11","37","48","27","7","5","23","19"
4,"33","45","96",".469","9","16",".563","21","22",".955","19","30","49","28","11","6","10","17"
4,"34","41","88",".466","7","18",".389","27","30",".900","16","30","46","26","10","2","14","24"
4,"35","50","94",".532","7","21",".333","9","17",".529","23","29","52","33","9","2","13","17"
4,"36","34","78",".436","10","21",".476","14","26",".538","17","21","38","17","4","4","13","11"
4,"37","40","76",".526","14","22",".636","17","21",".810","14","23","37","24","4","4","14","20"
4,"38","38","88",".432","8","23",".348","15","19",".789","21","27","48","23","14","2","15","17"
4,"39","42","86",".488","7","15",".467","13","19",".684","16","30","46","31","7","3","15","25"
4,"40","36","83",".434","7","17",".412","23","37",".622","19","30","49","26","9","3","21","30"
4,"41","35","83",".422","6","19",".316","17","25",".680","21","29","50","26","9","8","20","23"
4,"42","32","79",".405","12","27",".444","22","28",".786","21","30","51","14","11","0","21","20"
