"TEAM","GAME","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF"
9,"1","40","85",".471","7","33",".212","13","18",".722","8","27","35","24","11","6","16","19"
9,"2","44","91",".484","9","28",".321","25","28",".893","9","40","49","32","8","2","14","22"
9,"3","35","83",".422","8","29",".276","28","33",".848","7","36","43","27","6","5","15","23"
9,"4","50","89",".562","10","26",".385","17","23",".739","7","38","45","36","14","4","16","19"
9,"5","46","89",".517","14","30",".467","16","20",".800","15","31","46","27","9","14","15","18"
9,"6","39","86",".453","5","32",".156","14","20",".700","9","31","40","26","13","3","20","13"
9,"7","45","90",".500","16","35",".457","10","12",".833","10","28","38","35","14","4","15","17"
9,"8","43","74",".581","17","33",".515","13","22",".591","5","34","39","33","3","5","15","22"
9,"9","46","85",".541","14","30",".467","19","20",".950","9","35","44","33","15","6","15","18"
9,"10","45","87",".517","16","33",".485","27","31",".871","8","35","43","32","8","7","16","20"
9,"11","44","87",".506","13","36",".361","26","28",".929","7","28","35","33","9","7","12","25"
9,"12","44","90",".489","9","28",".321","7","12",".583","9","41","50","33","10","7","11","20"
9,"13","42","95",".442","14","38",".368","26","32",".813","18","27","45","30","8","5","12","25"
9,"14","40","90",".444","13","36",".361","27","32",".844","12","48","60","31","9","10","12","17"
9,"15","53","86",".616","19","36",".528","24","35",".686","6","42","48","47","7","5","10","20"
9,"16","43","83",".518","11","28",".393","12","17",".706","4","40","44","31","10","10","17","21"
9,"17","45","81",".556","11","22",".500","14","17",".824","12","33","45","25","9","8","18","14"
9,"18","37","85",".435","12","35",".343","19","24",".792","7","34","41","25","6","10","14","20"
9,"19","43","104",".413","12","44",".273","29","37",".784","13","41","54","31","12","7","17","27"
9,"20","49","78",".628","14","21",".667","26","34",".765","6","32","38","37","9","5","17","19"
9,"21","54","104",".519","14","37",".378","20","26",".769","16","38","54","45","12","13","11","22"
9,"22","42","89",".472","7","31",".226","24","29",".828","12","34","46","32","11","5","10","24"
9,"23","39","80",".488","12","29",".414","16","23",".696","9","38","47","26","10","4","16","23"
9,"24","34","77",".442","9","27",".333","12","20",".600","10","32","42","15","6","8","23","23"
9,"25","38","83",".458","13","32",".406","27","30",".900","6","31","37","30","9","4","8","24"
9,"26","42","95",".442","14","34",".412","15","19",".789","9","36","45","30","6","5","12","12"
9,"27","45","96",".469","9","32",".281","4","8",".500","15","42","57","41","7","10","17","17"
9,"28","51","87",".586","14","28",".500","19","26",".731","9","47","56","36","7","5","15","16"
9,"29","40","90",".444","9","23",".391","15","17",".882","9","41","50","24","13","3","10","18"
9,"30","47","104",".452","12","37",".324","11","14",".786","11","40","51","29","19","7","12","19"
9,"31","43","77",".558","11","27",".407","22","24",".917","4","37","41","35","9","2","22","21"
9,"32","37","77",".481","9","30",".300","25","29",".862","5","37","42","25","8","4","19","24"
9,"33","46","81",".568","14","23",".609","15","18",".833","9","42","51","33","4","9","20","16"
9,"34","42","84",".500","11","33",".333","13","15",".867","4","39","43","31","5","4","13","12"
9,"35","50","95",".526","11","25",".440","16","21",".762","12","31","43","33","7","2","13","14"
9,"36","44","87",".506","13","36",".361","24","29",".828","8","31","39","31","14","9","15","20"
9,"37","41","83",".494","8","30",".267","29","39",".744","7","37","44","23","7","5","16","21"
9,"38","45","89",".506","10","29",".345","17","20",".850","13","33","46","33","11","6","17","22"
9,"39","39","86",".453","11","27",".407","18","22",".818","5","43","48","28","6","7","11","16"
9,"40","50","89",".562","15","29",".517","12","18",".667","6","31","37","39","14","4","18","14"
9,"41","46","91",".505","15","34",".441","19","24",".792","11","47","58","37","10","11","16","22"
9,"42","46","85",".541","10","21",".476","19","27",".704","11","35","46","35","11","8","18","16"
9,"43","47","89",".528","15","38",".395","16","21",".762","8","33","41","30","8","7","14","18"
9,"44","42","89",".472","19","42",".452","15","19",".789","13","39","52","27","8","4","18","15"
9,"45","41","88",".466","8","30",".267","12","20",".600","7","36","43","27","9","4","14","20"
9,"46","39","82",".476","11","28",".393","24","27",".889","5","36","41","23","7","14","12","19"
9,"47","57","92",".620","17","34",".500","13","16",".813","9","39","48","35","9","7","11","17"
9,"48","36","79",".456","8","26",".308","33","39",".846","8","31","39","28","13","6","18","18"
9,"49","47","96",".490","21","48",".438","11","14",".786","9","38","47","35","9","13","10","18"
9,"50","52","99",".525","14","34",".412","15","18",".833","15","31","46","38","10","2","11","26"
9,"51","36","87",".414","15","44",".341","19","24",".792","7","33","40","22","10","10","17","17"
9,"52","48","85",".565","15","28",".536","12","13",".923","5","40","45","37","9","5","12","17"
9,"53","39","77",".506","15","33",".455","29","38",".763","5","29","34","31","14","13","12","26"
9,"54","46","87",".529","13","31",".419","25","35",".714","10","30","40","28","10","3","11","22"
9,"55","45","92",".489","8","32",".250","12","13",".923","4","23","27","25","12","6","9","13"
9,"56","41","84",".488","13","36",".361","14","21",".667","6","40","46","32","10","10","8","16"
9,"57","43","81",".531","13","25",".520","24","26",".923","10","43","53","31","11","11","21","27"
9,"58","42","100",".420","11","31",".355","17","22",".773","13","39","52","30","10","11","11","17"
9,"59","40","89",".449","6","29",".207","33","39",".846","16","29","45","31","14","4","13","18"
9,"60","39","84",".464","8","29",".276","22","27",".815","13","28","41","28","10","6","19","23"
9,"61","34","88",".386","6","30",".200","13","14",".929","6","35","41","23","10","6","15","18"
9,"62","40","88",".455","13","35",".371","19","23",".826","11","24","35","21","11","3","8","18"
9,"63","41","87",".471","20","44",".455","17","22",".773","13","30","43","33","10","4","14","22"
9,"64","37","84",".440","6","30",".200","6","9",".667","12","34","46","23","8","12","17","20"
9,"65","41","88",".466","7","24",".292","13","17",".765","12","31","43","25","9","5","12","21"
9,"66","33","92",".359","5","17",".294","14","23",".609","20","29","49","19","10","4","15","16"
9,"67","32","88",".364","14","32",".438","28","35",".800","13","30","43","24","12","11","18","24"
9,"68","50","87",".575","10","26",".385","12","23",".522","7","40","47","36","14","9","12","18"
9,"69","45","75",".600","12","23",".522","15","19",".789","6","38","44","30","5","6","12","16"
9,"70","40","83",".482","15","33",".455","16","21",".762","9","37","46","28","8","8","16","22"
9,"71","43","78",".551","13","30",".433","13","16",".813","4","42","46","34","10","2","16","20"
9,"72","44","89",".494","10","31",".323","16","18",".889","13","31","44","37","14","8","12","15"
9,"73","39","71",".549","17","31",".548","11","15",".733","7","30","37","30","9","4","18","15"
9,"74","45","88",".511","11","41",".268","12","16",".750","8","36","44","33","9","7","16","29"
9,"75","43","85",".506","13","26",".500","11","11","1.000","10","25","35","31","7","7","15","22"
9,"76","43","95",".453","11","32",".344","10","14",".714","13","30","43","27","10","14","10","20"
9,"77","50","88",".568","16","36",".444","23","26",".885","10","34","44","34","7","10","16","20"
9,"78","44","84",".524","14","32",".438","19","24",".792","8","32","40","33","9","7","13","19"
