"TEAM","GAME","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF"
3,"1","47","101",".465","4","12",".333","18","23",".783","17","22","39","29","14","6","14","25"
3,"2","33","77",".429","2","4",".500","34","47",".723","14","35","49","16","7","5","22","39"
3,"3","46","92",".500","0","2",".000","16","26",".615","12","23","35","34","13","6","11","23"
3,"4","39","78",".500","0","0","","18","29",".621","19","22","41","25","5","6","8","13"
3,"5","49","92",".533","0","1",".000","22","25",".880","13","32","45","29","15","4","11","21"
3,"6","44","81",".543","0","3",".000","17","20",".850","10","33","43","30","12","5","16","19"
3,"7","35","91",".385","1","1","1.000","13","16",".813","18","34","52","18","6","8","12","21"
3,"8","41","95",".432","2","7",".286","9","14",".643","14","30","44","26","9","6","18","26"
3,"9","47","87",".540","0","1",".000","22","33",".667","12","28","40","15","15","4","12","16"
3,"10","43","92",".467","1","6",".167","25","29",".862","11","23","34","27","10","3","14","26"
3,"11","45","95",".474","2","3",".667","15","19",".789","16","32","48","19","8","8","16","28"
3,"12","42","88",".477","2","3",".667","19","22",".864","14","32","46","30","13","5","16","18"
3,"13","61","110",".555","4","8",".500","25","29",".862","17","34","51","35","8","8","13","20"
3,"14","54","90",".600","0","1",".000","10","20",".500","11","29","40","36","13","9","12","17"
3,"15","49","85",".576","0","0","","26","30",".867","11","33","44","38","12","4","17","19"
3,"16","50","82",".610","2","2","1.000","18","26",".692","9","33","42","33","13","5","12","18"
3,"17","67","106",".632","1","3",".333","20","25",".800","14","35","49","45","6","5","20","21"
3,"18","46","92",".500","3","6",".500","13","17",".765","16","32","48","28","13","8","17","25"
3,"19","42","85",".494","1","8",".125","16","22",".727","15","33","48","30","6","6","15","18"
3,"20","36","76",".474","0","1",".000","15","21",".714","10","23","33","19","8","8","22","22"
3,"21","49","93",".527","1","2",".500","29","39",".744","20","30","50","36","9","8","10","16"
3,"22","53","92",".576","2","2","1.000","8","12",".667","17","29","46","40","12","9","20","21"
3,"23","40","83",".482","1","3",".333","31","40",".775","13","26","39","31","16","7","19","23"
3,"24","35","99",".354","3","10",".300","11","15",".733","20","28","48","17","5","7","13","25"
3,"25","49","88",".557","2","6",".333","14","17",".824","16","30","46","34","8","5","11","17"
3,"26","47","88",".534","4","6",".667","30","44",".682","22","31","53","34","4","4","16","26"
3,"27","40","77",".519","2","4",".500","16","21",".762","9","26","35","22","10","3","12","24"
3,"28","50","82",".610","3","6",".500","25","32",".781","10","35","45","37","8","11","15","23"
3,"29","46","97",".474","2","9",".222","22","28",".786","25","27","52","34","13","4","11","15"
3,"30","40","103",".388","1","6",".167","11","15",".733","21","23","44","25","11","7","13","19"
3,"31","45","88",".511","0","3",".000","18","25",".720","17","23","40","29","13","5","12","18"
3,"32","49","98",".500","2","3",".667","11","15",".733","13","30","43","32","14","11","16","17"
3,"33","46","83",".554","0","2",".000","15","23",".652","11","26","37","28","6","2","7","20"
3,"34","39","79",".494","2","6",".333","19","23",".826","12","30","42","29","4","3","13","25"
3,"35","43","78",".551","0","2",".000","20","28",".714","14","32","46","32","6","5","16","22"
3,"36","44","81",".543","2","7",".286","20","27",".741","13","25","38","26","7","6","15","15"
3,"37","41","91",".451","0","1",".000","17","30",".567","18","28","46","15","8","4","12","19"
3,"38","46","91",".505","2","7",".286","11","15",".733","12","27","39","28","10","0","17","22"
3,"39","48","89",".539","1","5",".200","20","30",".667","12","29","41","28","11","6","14","21"
3,"40","34","83",".410","1","3",".333","26","33",".788","14","24","38","11","13","5","15","26"
3,"41","43","81",".531","4","9",".444","18","25",".720","17","35","52","31","12","6","25","24"
3,"42","40","83",".482","2","4",".500","20","22",".909","11","31","42","18","11","4","12","34"
3,"43","39","77",".506","1","2",".500","22","31",".710","9","38","47","28","6","5","14","14"
3,"44","39","92",".424","0","2",".000","8","12",".667","16","29","45","24","8","4","8","17"
