"TEAM","GAME","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF"
7,"1","41","75",".547","4","15",".267","15","18",".833","7","34","41","29","12","5","16","18"
7,"2","34","72",".472","6","18",".333","16","24",".667","8","37","45","24","7","6","18","22"
7,"3","36","77",".468","7","16",".438","20","29",".690","8","33","41","23","7","7","14","22"
7,"4","39","84",".464","7","15",".467","17","19",".895","12","33","45","22","6","5","13","17"
7,"5","34","76",".447","4","15",".267","20","26",".769","11","35","46","12","7","5","21","16"
7,"6","33","66",".500","6","15",".400","17","20",".850","4","34","38","20","6","8","17","12"
7,"7","46","85",".541","9","25",".360","5","11",".455","11","38","49","30","8","5","9","19"
7,"8","35","79",".443","6","22",".273","23","29",".793","16","31","47","19","10","4","10","20"
7,"9","34","69",".493","11","27",".407","19","27",".704","8","30","38","21","3","3","15","18"
7,"10","35","69",".507","7","18",".389","20","23",".870","4","31","35","27","4","6","15","22"
7,"11","30","75",".400","5","20",".250","18","25",".720","9","25","34","22","6","5","8","20"
7,"12","39","82",".476","6","13",".462","14","16",".875","10","30","40","27","5","2","13","11"
7,"13","30","78",".385","6","20",".300","22","27",".815","10","32","42","21","7","7","8","24"
7,"14","36","81",".444","9","27",".333","30","34",".882","13","36","49","23","7","2","12","17"
7,"15","39","74",".527","5","16",".313","20","31",".645","10","29","39","28","9","3","14","22"
7,"16","40","87",".460","7","17",".412","19","22",".864","13","33","46","25","8","3","11","23"
7,"17","39","79",".494","6","16",".375","17","19",".895","9","38","47","23","4","5","15","18"
7,"18","36","87",".414","10","24",".417","18","23",".783","11","39","50","21","12","1","14","20"
7,"19","40","76",".526","6","19",".316","7","11",".636","3","34","37","25","11","4","13","20"
7,"20","38","76",".500","5","17",".294","24","29",".828","6","30","36","23","4","6","11","20"
7,"21","39","87",".448","7","20",".350","20","27",".741","16","29","45","22","12","10","16","10"
7,"22","41","75",".547","4","16",".250","16","19",".842","5","33","38","31","11","4","15","17"
7,"23","33","66",".500","14","26",".538","23","28",".821","8","32","40","24","7","5","18","19"
7,"24","37","76",".487","5","20",".250","20","27",".741","9","32","41","28","4","7","13","18"
7,"25","40","74",".541","3","16",".188","20","21",".952","5","31","36","20","7","4","11","16"
7,"26","39","86",".453","8","18",".444","20","31",".645","11","43","54","27","9","4","9","18"
7,"27","33","74",".446","8","21",".381","24","28",".857","10","38","48","19","6","1","13","23"
7,"28","38","76",".500","12","26",".462","17","21",".810","4","34","38","28","5","0","13","18"
7,"29","41","84",".488","11","23",".478","10","11",".909","6","37","43","29","7","2","14","20"
7,"30","31","75",".413","5","22",".227","9","12",".750","11","24","35","19","6","6","17","17"
7,"31","35","82",".427","10","23",".435","13","15",".867","4","31","35","24","9","5","10","22"
7,"32","30","80",".375","9","32",".281","18","22",".818","6","25","31","16","12","2","12","23"
7,"33","40","83",".482","10","27",".370","14","22",".636","11","26","37","26","7","6","10","13"
7,"34","33","77",".429","8","22",".364","10","13",".769","12","34","46","22","3","2","13","16"
7,"35","37","79",".468","6","20",".300","15","20",".750","12","35","47","18","4","2","14","17"
7,"36","41","76",".539","12","26",".462","13","17",".765","6","28","34","29","8","4","17","20"
7,"37","33","80",".413","9","22",".409","14","19",".737","11","30","41","21","4","9","11","17"
7,"38","36","83",".434","6","13",".462","11","18",".611","8","31","39","17","5","4","8","24"
7,"39","24","74",".324","6","31",".194","16","23",".696","9","29","38","13","7","3","13","18"
7,"40","34","73",".466","9","25",".360","12","17",".706","10","21","31","28","3","2","15","20"
7,"41","44","80",".550","12","26",".462","9","13",".692","7","28","35","27","4","2","6","11"
7,"42","26","73",".356","7","22",".318","18","22",".818","9","32","41","16","5","9","14","17"
7,"43","26","75",".347","8","21",".381","27","29",".931","11","28","39","18","11","0","14","24"
7,"44","37","74",".500","10","24",".417","28","30",".933","11","19","30","18","5","4","14","24"
7,"45","41","82",".500","6","16",".375","23","25",".920","7","33","40","25","6","4","9","24"
7,"46","36","73",".493","8","21",".381","22","27",".815","8","33","41","28","6","4","13","17"
7,"47","34","71",".479","9","22",".409","25","37",".676","13","37","50","27","2","4","14","21"
7,"48","42","84",".500","11","25",".440","18","21",".857","10","44","54","24","3","4","15","18"
7,"49","39","79",".494","8","17",".471","15","17",".882","10","23","33","22","5","3","14","16"
7,"50","40","86",".465","7","22",".318","14","17",".824","14","30","44","20","3","14","10","20"
7,"51","34","83",".410","7","22",".318","24","27",".889","16","35","51","21","6","3","16","18"
7,"52","38","81",".469","9","25",".360","17","22",".773","9","30","39","22","2","5","12","21"
7,"53","45","84",".536","11","25",".440","19","25",".760","11","28","39","21","8","3","11","18"
7,"54","43","78",".551","8","15",".533","12","15",".800","9","33","42","26","6","4","15","13"
7,"55","50","90",".556","13","26",".500","3","6",".500","10","25","35","34","11","0","21","26"
7,"56","43","82",".524","10","27",".370","16","23",".696","5","34","39","26","8","4","12","20"
7,"57","44","76",".579","10","20",".500","20","28",".714","11","32","43","30","7","2","19","25"
7,"58","39","81",".481","6","17",".353","21","31",".677","8","43","51","28","4","3","12","15"
7,"59","45","93",".484","8","24",".333","16","22",".727","11","29","40","28","4","3","6","11"
7,"60","41","77",".532","6","18",".333","13","24",".542","5","38","43","26","5","2","15","16"
7,"61","41","79",".519","7","19",".368","27","34",".794","14","27","41","28","9","4","15","21"
7,"62","37","73",".507","10","21",".476","19","23",".826","8","29","37","21","8","8","15","23"
7,"63","38","84",".452","12","35",".343","20","22",".909","12","32","44","29","11","4","15","19"
7,"64","31","69",".449","6","21",".286","24","32",".750","4","27","31","22","4","5","9","23"
7,"65","48","94",".511","11","24",".458","20","24",".833","17","30","47","26","9","5","11","25"
7,"66","37","86",".430","4","16",".250","13","15",".867","15","33","48","21","6","9","13","20"
7,"67","40","67",".597","9","21",".429","12","13",".923","6","27","33","30","5","4","15","17"
7,"68","40","77",".519","8","19",".421","24","27",".889","10","31","41","28","6","1","14","16"
7,"69","36","73",".493","6","23",".261","13","17",".765","7","34","41","20","3","5","19","21"
7,"70","34","79",".430","12","33",".364","21","25",".840","11","40","51","24","10","3","15","22"
7,"71","42","85",".494","8","27",".296","12","15",".800","10","33","43","31","10","6","15","17"
7,"72","30","66",".455","8","19",".421","26","32",".813","5","35","40","20","9","6","16","26"
7,"73","32","84",".381","10","26",".385","17","21",".810","16","31","47","20","8","3","15","18"
7,"74","41","85",".482","9","21",".429","15","26",".577","6","25","31","30","11","5","11","19"
7,"75","30","83",".361","6","26",".231","16","23",".696","11","36","47","18","3","4","13","27"
7,"76","37","90",".411","5","25",".200","13","20",".650","11","32","43","25","5","4","11","21"
7,"77","34","70",".486","9","24",".375","19","26",".731","5","28","33","21","5","2","13","21"
7,"78","39","80",".488","5","22",".227","13","20",".650","15","30","45","20","9","9","16","18"
7,"79","43","85",".506","4","15",".267","17","28",".607","15","27","42","25","13","4","17","19"
7,"80","45","89",".506","11","27",".407","14","18",".778","18","33","51","29","7","4","14","23"
7,"81","38","83",".458","4","17",".235","18","20",".900","6","43","49","21","9","5","20","20"
7,"82","40","73",".548","13","28",".464","28","34",".824","6","36","42","32","7","1","14","17"
