"TEAM","GAME","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF"
5,"1","42","74",".568","1","13",".077","22","32",".688","8","29","37","28","7","8","19","23"
5,"2","44","93",".473","10","24",".417","17","20",".850","14","34","48","29","13","3","16","20"
5,"3","37","86",".430","7","20",".350","15","20",".750","21","35","56","26","10","8","19","18"
5,"4","38","88",".432","6","19",".316","24","32",".750","19","30","49","20","9","3","11","19"
5,"5","36","73",".493","9","24",".375","17","21",".810","12","34","46","25","8","2","10","17"
5,"6","43","90",".478","3","14",".214","15","25",".600","13","28","41","28","10","4","15","21"
5,"7","39","90",".433","7","24",".292","12","17",".706","15","33","48","28","8","3","11","19"
5,"8","36","80",".450","3","7",".429","28","36",".778","10","38","48","25","6","3","7","21"
5,"9","46","83",".554","7","16",".438","11","14",".786","14","31","45","29","9","3","20","16"
5,"10","41","81",".506","7","17",".412","8","10",".800","9","35","44","34","2","4","10","20"
5,"11","45","92",".489","9","20",".450","14","22",".636","16","33","49","28","8","9","17","25"
5,"12","40","81",".494","2","11",".182","28","47",".596","15","31","46","21","8","6","14","25"
5,"13","37","82",".451","8","24",".333","18","21",".857","11","30","41","17","4","3","11","23"
5,"14","29","76",".382","3","12",".250","27","35",".771","14","31","45","14","6","6","13","16"
5,"15","45","90",".500","8","14",".571","18","23",".783","19","36","55","28","5","2","16","20"
5,"16","38","85",".447","7","13",".538","14","20",".700","11","30","41","29","8","4","10","17"
5,"17","41","81",".506","4","6",".667","21","29",".724","11","19","30","27","10","1","13","28"
5,"18","52","95",".547","3","9",".333","7","10",".700","15","28","43","40","10","1","10","16"
5,"19","33","79",".418","5","15",".333","9","11",".818","15","29","44","17","3","3","10","19"
5,"20","37","88",".420","10","24",".417","5","9",".556","10","28","38","27","8","7","12","22"
5,"21","40","79",".506","5","12",".417","18","23",".783","12","28","40","29","11","3","14","18"
5,"22","40","81",".494","9","22",".409","24","33",".727","11","38","49","25","13","3","19","19"
5,"23","32","90",".356","6","21",".286","17","23",".739","19","30","49","22","10","6","10","17"
5,"24","45","101",".446","11","23",".478","28","36",".778","24","32","56","27","11","4","12","25"
5,"25","38","90",".422","7","20",".350","10","12",".833","21","30","51","16","8","6","9","18"
5,"26","43","91",".473","9","21",".429","16","20",".800","14","24","38","24","13","5","12","23"
5,"27","44","90",".489","8","18",".444","17","20",".850","15","34","49","21","11","4","11","13"
5,"28","38","88",".432","8","26",".308","11","19",".579","24","27","51","30","10","2","11","17"
5,"29","39","85",".459","6","19",".316","19","25",".760","17","24","41","19","7","5","11","28"
5,"30","34","65",".523","7","14",".500","27","37",".730","12","27","39","20","8","1","16","24"
5,"31","29","86",".337","6","22",".273","17","25",".680","19","35","54","18","6","2","10","18"
5,"32","44","82",".537","3","11",".273","19","25",".760","19","33","52","30","9","3","12","15"
5,"33","40","87",".460","10","27",".370","12","18",".667","18","27","45","25","9","3","8","19"
5,"34","47","93",".505","4","14",".286","18","27",".667","21","24","45","25","13","1","8","21"
5,"35","45","92",".489","11","22",".500","9","14",".643","14","39","53","29","7","5","8","20"
5,"36","38","88",".432","8","20",".400","24","28",".857","19","21","40","23","11","1","10","19"
5,"37","48","93",".516","6","16",".375","10","15",".667","18","29","47","32","4","5","9","14"
5,"38","44","79",".557","4","13",".308","8","11",".727","8","30","38","33","14","6","11","17"
5,"39","33","91",".363","4","23",".174","16","18",".889","19","31","50","21","7","5","12","18"
5,"40","34","76",".447","8","25",".320","12","16",".750","12","30","42","23","11","1","19","9"
5,"41","30","71",".423","4","13",".308","23","26",".885","19","30","49","21","5","1","22","17"
5,"42","47","84",".560","7","13",".538","9","12",".750","5","23","28","36","11","1","12","17"
5,"43","46","83",".554","2","8",".250","17","23",".739","15","24","39","30","17","2","20","12"
5,"44","42","81",".519","5","19",".263","22","28",".786","10","29","39","24","10","5","12","20"
5,"45","48","90",".533","7","18",".389","12","15",".800","16","30","46","27","13","2","13","21"
