"TEAM","GAME","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF"
12,"1","37","79",".468","7","10",".700","15","18",".833","9","40","49","19","8","7","15","17"
12,"2","41","80",".513","10","19",".526","25","33",".758","14","37","51","28","7","3","16","19"
12,"3","33","87",".379","6","17",".353","32","43",".744","15","38","53","18","8","5","15","25"
12,"4","33","85",".388","8","22",".364","32","45",".711","15","39","54","14","12","9","12","17"
12,"5","42","79",".532","9","17",".529","18","23",".783","14","36","50","26","13","10","18","19"
12,"6","42","95",".442","2","13",".154","20","26",".769","20","28","48","16","13","5","15","19"
12,"7","32","78",".410","6","16",".375","23","28",".821","9","31","40","20","11","4","9","19"
12,"8","40","95",".421","4","19",".211","11","16",".688","16","27","43","24","8","5","11","30"
12,"9","46","98",".469","5","15",".333","19","25",".760","14","29","43","27","16","11","15","24"
12,"10","42","90",".467","10","21",".476","11","14",".786","9","32","41","25","6","5","7","19"
12,"11","41","84",".488","6","22",".273","16","20",".800","13","30","43","22","12","9","14","20"
12,"12","45","87",".517","8","14",".571","20","28",".714","14","32","46","28","11","3","17","16"
12,"13","44","87",".506","8","21",".381","24","37",".649","12","39","51","24","10","4","9","23"
12,"14","47","96",".490","6","20",".300","14","15",".933","17","28","45","23","8","9","10","8"
12,"15","47","92",".511","4","18",".222","14","16",".875","15","39","54","34","10","3","19","18"
12,"16","39","76",".513","6","19",".316","33","45",".733","8","33","41","18","10","5","16","23"
12,"17","43","74",".581","6","13",".462","22","27",".815","9","32","41","24","7","4","16","18"
12,"18","37","74",".500","10","20",".500","22","31",".710","11","27","38","25","8","4","15","18"
12,"19","34","70",".486","5","14",".357","32","41",".780","14","35","49","23","12","4","25","25"
12,"20","35","87",".402","9","24",".375","22","26",".846","15","28","43","22","4","7","16","23"
12,"21","40","82",".488","8","24",".333","27","35",".771","12","31","43","30","11","5","14","20"
12,"22","42","84",".500","7","15",".467","21","35",".600","10","36","46","23","7","4","11","24"
12,"23","38","85",".447","5","15",".333","17","19",".895","9","37","46","26","8","7","10","17"
12,"24","45","95",".474","6","23",".261","20","25",".800","15","34","49","30","9","5","11","17"
12,"25","35","74",".473","7","16",".438","10","19",".526","10","30","40","16","7","1","21","23"
12,"26","36","87",".414","7","21",".333","24","25",".960","10","30","40","14","8","2","9","30"
12,"27","40","74",".541","6","15",".400","19","27",".704","9","28","37","24","9","6","13","18"
12,"28","33","75",".440","6","15",".400","28","32",".875","11","28","39","17","7","6","11","21"
12,"29","36","78",".462","8","20",".400","12","15",".800","7","28","35","27","6","9","11","18"
12,"30","47","91",".516","10","22",".455","26","32",".813","16","31","47","33","12","4","16","27"
12,"31","39","85",".459","3","17",".176","32","42",".762","12","34","46","22","10","6","10","18"
12,"32","33","67",".493","8","20",".400","26","33",".788","7","34","41","18","7","5","13","24"
