"TEAM","GAME","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF"
6,"1","38","94",".404","9","29",".310","10","17",".588","11","39","50","26","5","7","10","21"
6,"2","41","84",".488","13","29",".448","11","17",".647","12","42","54","29","7","2","19","25"
6,"3","39","86",".453","6","25",".240","18","21",".857","14","35","49","25","4","4","11","19"
6,"4","42","81",".519","8","22",".364","15","20",".750","7","36","43","28","5","9","16","19"
6,"5","33","83",".398","7","27",".259","23","32",".719","9","39","48","21","5","2","11","12"
6,"6","45","88",".511","10","26",".385","8","12",".667","11","34","45","29","9","0","17","20"
6,"7","38","83",".458","8","24",".333","17","25",".680","11","37","48","25","5","4","10","20"
6,"8","37","74",".500","11","24",".458","33","43",".767","11","24","35","24","9","6","16","21"
6,"9","33","78",".423","6","28",".214","18","31",".581","12","37","49","12","6","1","12","19"
6,"10","37","91",".407","14","38",".368","17","27",".630","14","40","54","21","6","8","20","24"
6,"11","38","80",".475","11","33",".333","12","20",".600","3","37","40","21","8","2","14","25"
6,"12","40","71",".563","11","24",".458","24","30",".800","13","30","43","29","3","2","17","24"
6,"13","41","85",".482","11","29",".379","16","19",".842","11","40","51","27","4","8","14","22"
6,"14","43","81",".531","18","35",".514","13","22",".591","8","33","41","34","5","3","10","15"
6,"15","36","82",".439","14","29",".483","13","16",".813","9","33","42","22","4","2","10","20"
6,"16","34","81",".420","8","25",".320","19","25",".760","12","38","50","17","3","2","16","22"
6,"17","35","87",".402","9","27",".333","11","17",".647","12","37","49","20","9","11","19","19"
6,"18","28","83",".337","9","30",".300","20","23",".870","10","37","47","15","8","3","18","18"
6,"19","39","89",".438","10","33",".303","20","24",".833","12","31","43","18","8","1","14","26"
6,"20","31","85",".365","6","28",".214","16","24",".667","11","25","36","14","8","1","14","26"
6,"21","40","79",".506","9","21",".429","16","20",".800","6","24","30","18","10","4","8","18"
6,"22","41","72",".569","11","21",".524","18","27",".667","9","36","45","28","12","0","18","19"
6,"23","36","78",".462","8","23",".348","9","10",".900","6","40","46","17","5","7","14","17"
6,"24","41","88",".466","12","29",".414","10","13",".769","16","26","42","29","6","1","16","22"
6,"25","40","85",".471","11","25",".440","17","21",".810","6","34","40","25","11","6","10","19"
