"TEAM","GAME","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF"
8,"1","33","75",".440","6","27",".222","23","32",".719","7","37","44","21","12","8","22","32"
8,"2","46","83",".554","11","23",".478","24","28",".857","12","31","43","30","10","4","20","26"
8,"3","36","81",".444","6","19",".316","17","21",".810","7","34","41","22","11","7","17","16"
8,"4","43","74",".581","15","25",".600","20","20","1.000","4","35","39","29","7","3","23","22"
8,"5","39","87",".448","9","28",".321","11","17",".647","15","39","54","22","11","8","26","19"
8,"6","33","69",".478","11","24",".458","18","21",".857","3","33","36","16","9","7","26","26"
8,"7","38","70",".543","7","20",".350","17","20",".850","1","37","38","23","5","4","19","16"
8,"8","41","90",".456","11","34",".324","14","21",".667","14","31","45","30","7","10","10","16"
8,"9","45","87",".517","11","26",".423","11","14",".786","11","40","51","30","7","3","14","25"
8,"10","46","86",".535","14","28",".500","30","34",".882","11","40","51","32","4","5","16","26"
8,"11","41","82",".500","6","23",".261","13","19",".684","6","34","40","28","10","5","13","18"
8,"12","33","93",".355","7","25",".280","18","24",".750","13","39","52","26","7","8","9","18"
8,"13","43","75",".573","13","28",".464","15","23",".652","5","40","45","21","6","9","11","24"
8,"14","44","85",".518","12","26",".462","11","19",".579","8","39","47","30","7","6","15","19"
8,"15","42","99",".424","7","26",".269","15","16",".938","16","30","46","28","7","8","12","26"
8,"16","37","79",".468","9","21",".429","21","27",".778","9","40","49","24","5","8","16","19"
8,"17","38","82",".463","8","27",".296","14","18",".778","13","36","49","25","8","5","15","15"
8,"18","47","100",".470","10","22",".455","8","17",".471","18","38","56","31","11","8","9","8"
8,"19","40","89",".449","12","30",".400","20","25",".800","15","25","40","27","14","6","11","21"
8,"20","42","91",".462","5","22",".227","13","14",".929","15","36","51","24","15","6","17","18"
8,"21","40","81",".494","8","23",".348","17","20",".850","6","37","43","21","9","5","15","16"
8,"22","37","83",".446","10","32",".313","21","27",".778","9","36","45","21","7","7","13","24"
8,"23","44","86",".512","11","24",".458","29","35",".829","8","38","46","22","7","9","19","19"
8,"24","39","95",".411","9","31",".290","11","12",".917","15","34","49","18","9","11","14","19"
8,"25","48","94",".511","12","31",".387","6","10",".600","10","29","39","32","9","7","9","15"
8,"26","49","91",".538","9","25",".360","21","24",".875","10","35","45","36","9","6","12","19"
8,"27","39","84",".464","12","26",".462","15","17",".882","11","28","39","20","8","2","19","18"
8,"28","34","80",".425","6","28",".214","12","22",".545","8","36","44","24","11","4","16","21"
8,"29","41","88",".466","11","28",".393","17","21",".810","9","34","43","32","17","6","16","21"
8,"30","46","82",".561","12","28",".429","22","27",".815","8","34","42","38","19","11","14","20"
8,"31","49","92",".533","12","28",".429","16","20",".800","14","31","45","35","8","8","9","18"
8,"32","41","88",".466","15","28",".536","20","32",".625","10","44","54","27","8","4","12","22"
8,"33","45","91",".495","12","28",".429","15","20",".750","10","29","39","30","11","3","11","23"
8,"34","43","86",".500","10","30",".333","16","17",".941","9","35","44","35","9","8","13","20"
8,"35","46","91",".505","13","25",".520","11","13",".846","6","25","31","32","10","5","9","16"
8,"36","38","81",".469","13","29",".448","15","19",".789","10","26","36","29","5","5","13","21"
8,"37","42","92",".457","9","24",".375","22","28",".786","13","30","43","24","10","2","14","14"
8,"38","50","91",".549","9","22",".409","22","33",".667","12","37","49","32","11","11","14","21"
8,"39","44","81",".543","13","27",".481","21","27",".778","7","46","53","30","10","6","13","14"
8,"40","49","98",".500","13","29",".448","15","18",".833","16","30","46","26","13","9","16","23"
