"TEAM","GAME","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF"
1,"64","48","86",".558","3","5",".600","17","26",".654","11","39","50","35","4","3","17","19"
1,"65","54","86",".628","4","7",".571","23","30",".767","10","36","46","29","3","8","23","25"
1,"66","45","77",".584","1","4",".250","30","34",".882","8","30","38","28","5","3","9","20"
1,"67","50","88",".568","5","7",".714","13","22",".591","9","28","37","32","9","10","10","22"
1,"68","52","90",".578","6","9",".667","16","21",".762","9","48","57","36","8","5","20","16"
1,"69","48","87",".552","0","3",".000","31","33",".939","12","36","48","22","3","7","16","18"
1,"70","48","92",".522","3","4",".750","27","32",".844","16","34","50","33","8","6","17","17"
1,"71","47","97",".485","3","4",".750","17","23",".739","19","27","46","30","6","4","19","18"
1,"72","45","92",".489","3","5",".600","28","33",".848","19","29","48","26","3","8","13","24"
1,"73","50","99",".505","3","10",".300","13","19",".684","18","37","55","34","4","6","10","23"
1,"74","46","92",".500","3","11",".273","27","33",".818","11","29","40","25","7","5","12","17"
1,"75","43","95",".453","2","8",".250","35","44",".795","19","29","48","26","10","4","8","18"
1,"76","53","100",".530","3","6",".500","13","19",".684","17","37","54","34","6","9","16","14"
1,"77","44","84",".524","4","10",".400","27","29",".931","9","42","51","25","8","8","19","25"
1,"78","39","81",".481","3","7",".429","13","15",".867","9","38","47","28","7","5","22","19"
1,"79","52","88",".591","0","1",".000","22","27",".815","13","32","45","29","4","3","15","23"
1,"80","38","77",".494","1","4",".250","21","30",".700","5","34","39","26","6","4","15","25"
1,"81","44","80",".550","1","6",".167","28","36",".778","11","27","38","26","7","6","16","19"
1,"82","44","75",".587","2","4",".500","45","51",".882","6","43","49","26","6","7","18","21"
