starters,number
FG,37.7
FGA,81.7
FG%,0.461
3P,6.4
3P%,0.355
3PA,18.1
FT,18.6
FTA,24.5
FT%,0.759
ORB,11.0
DRB,30.8
TRB,41.7
AST,21.2
STL,7.2
BLK,4.9
TOV,14.2
PF£¬20.9
