starters,number
FG,41.3
FGA,87.3
FG%,0.472
3P,2.5
3P%,0.331
3PA,7.6
FT,20.2
FTA,26.7
FT%,0.759
ORB,14.4
DRB,29.3
TRB,43.7
AST,24.5
STL,8.6
BLK,5.5
TOV,15.6
PF,22.2
