starters,number
FG,35.9
FGA,79.7
FG%,0.45
3P,4.4
3P%,0.346
3PA,12.7
FT,19.4
FTA,26.3
FT%,0.737
ORB,13.1
DRB,28.5
TRB,41.5
AST,22
STL,8.4
BLK,5.1
TOV,15.5
PF,22.4
