starters,number
FG,37.5
FGA,83.6
FG%,0.449
3P,7.8
3P%,0.350
3PA,22.4
FT,17.1
FTA,22.8
FT%,0.750
ORB,10.9
DRB,32.4
TRB,43.3
AST,22.0
STL,7.7
BLK,4.8
TOV,14.4
PF£¬20.2
