starters,number
FG,37.1
FGA,80.9
FG%,0.459
3P,6.6
3P%,0.367
3PA,18.1
FT,19.1
FTA,24.7
FT%,0.771
ORB,11
DRB,30.3
TRB,41.3
AST,21
STL,7.3
BLK,4.8
TOV,14
PF,21
