starters,number
FG,39.6
FGA,86.1
FG%,0.46
3P,10.5
3P%,0.362
3PA,29
FT,16.6
FTA,21.7
FT%,0.767
ORB,9.7
DRB,33.8
TRB,43.5
AST,23.2
STL,7.7
BLK,4.8
TOV,14.3
PF,19.9
