starters,number
FG,37.7
FGA,83.0
FG%,0.454
3P,7.7
3P%,0.360
3PA,21.5
FT,17.8
FTA,23.6
FT%,0.756
ORB,10.9
DRB,31.8
TRB,42.7
AST,22.0
STL,7.7
BLK,4.7
TOV,14.6
PF£¬20.7
