"TEAM","GAME","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF"
13,"71","37","77",".481","7","20",".350","16","23",".696","6","25","31","15","11","12","13","17"
13,"72","42","69",".609","14","27",".519","10","16",".625","3","24","27","30","11","3","13","19"
13,"73","33","71",".465","12","28",".429","10","15",".667","3","30","33","23","7","8","10","15"
13,"74","30","60",".500","8","20",".400","22","27",".815","7","25","32","18","7","3","19","19"
13,"75","31","69",".449","13","33",".394","14","17",".824","11","30","41","26","6","8","20","17"
13,"76","40","83",".482","14","25",".560","12","14",".857","11","37","48","25","5","3","9","16"
13,"77","38","88",".432","8","35",".229","10","10","1.000","14","35","49","22","12","3","17","13"
13,"78","33","75",".440","17","41",".415","20","23",".870","12","35","47","19","7","6","22","18"
13,"79","39","71",".549","12","23",".522","19","28",".679","5","32","37","28","6","5","14","14"
13,"80","36","70",".514","6","17",".353","27","41",".659","4","40","44","23","7","8","15","27"
13,"81","33","66",".500","13","28",".464","17","27",".630","10","35","45","25","2","8","17","19"
13,"82","42","78",".538","12","29",".414","9","19",".474","6","28","34","31","7","12","11","18"
